year,state_po,FIPS,vote_perc
2008,KS,20027,24.89
2008,KS,20029,27.7
2008,KS,20031,26.49
2008,KS,20033,19.92
2008,KS,20035,36.35
2008,KS,20037,49.5
2008,KS,20039,22.16
2008,KS,20041,27.95
2008,KS,20043,31.29
2008,KS,20045,64.42
2008,KS,20047,24.54
2008,KS,20049,25.31
2008,KS,20051,32.22
2008,KS,20053,28.97
2008,KS,20055,31.63
2008,KS,20057,33.74
2008,KS,20059,37.76
2008,KS,20061,43.13
2008,KS,20063,18.41
2008,KS,20065,22.84
2008,KS,20067,23.86
2008,KS,20069,20.58
2008,KS,20071,20.27
2008,KS,20073,27.29
2008,KS,20075,21.26
2008,KS,20077,26.32
2008,KS,20079,40.47
2008,KS,20081,17.71
2008,KS,20083,19.25
2008,KS,20085,36.91
2008,KS,20087,39.58
2008,KS,20089,19.76
2008,KS,20091,44.84
2008,KS,20093,20.85
2008,KS,20095,26.28
2008,KS,20097,17.62
2008,KS,20099,42.51
2008,KS,20101,18.79
2008,KS,20103,43.33
2008,KS,20105,21.88
2008,KS,20107,30.86
2008,KS,20109,15.62
2008,KS,20111,45.88
2008,KS,20113,31.51
2008,KS,20115,29.72
2008,KS,20117,35.42
2008,KS,20119,18.49
2008,KS,20121,37.34
2008,KS,20123,21.89
2008,KS,20125,31.19
2008,KS,20127,31.93
2008,KS,20129,16.33
2008,KS,20131,26.72
2008,KS,20133,35.64
2008,KS,20135,18.95
2008,KS,20137,20.58
2008,KS,20139,33.59
2008,KS,20141,20.88
2008,KS,20143,22.81
2008,KS,20145,30.64
2008,KS,20147,19.69
2008,KS,20149,26.42
2008,KS,20151,30.88
2008,KS,20153,17.62
2008,KS,20155,37.4
2008,KS,20157,23.96
2008,KS,20159,28.92
2008,KS,20161,45.64
2008,KS,20163,18.08
2008,KS,20165,28.3
2008,KS,20167,22.35
2008,KS,20169,35.92
2008,KS,20171,14.73
2008,KS,20173,42.72
2008,KS,20175,27.98
2008,KS,20177,48.99
2008,KS,20179,18.46
2008,KS,20181,25.44
2008,KS,20183,20.24
2008,KS,20185,26.13
2008,KS,20187,22.73
2008,KS,20189,13.31
2008,KS,20191,32.44
2008,KS,20193,21.43
2008,KS,20195,25.13
2008,KS,20197,29.42
2008,KS,20199,11.94
2008,KS,20201,22.11
2008,KS,20203,16.0
2008,KS,20205,28.39
2008,KS,20207,32.02
2008,KS,20209,69.73
2008,KY,21001,22.86
2008,KY,21003,27.39
2008,KY,21005,32.81
2008,KY,21007,35.15
2008,KY,21009,32.33
2008,KY,21011,48.65
2008,KY,21013,28.99
2008,KY,21015,32.09
2008,KY,21017,40.64
2008,KY,21019,42.99
2008,KY,21021,37.74
2008,KY,21023,36.51
2008,KY,21025,43.84
2008,KY,21027,36.49
2008,KY,21029,33.12
2008,KY,21031,29.3
2008,KY,21033,35.68
2008,KY,21035,40.02
2008,KY,21037,38.77
2008,KY,21039,33.59
2008,KY,21041,44.75
2008,KY,21043,43.98
2008,KY,21045,20.46
2008,KY,21047,38.98
2008,KY,21049,36.79
2008,KY,21051,21.08
2008,KY,21053,18.24
2008,KY,21055,31.91
2008,KY,21057,24.92
2008,KY,21059,44.2
2008,KY,21061,31.35
2008,KY,21063,61.03
2008,KY,21065,29.26
2008,KY,21067,51.74
2008,KY,21069,39.08
2008,KY,21071,48.09
2008,KY,21073,48.87
2008,KY,21075,43.82
2008,KY,21077,40.03
2008,KY,21079,27.91
2008,KY,21081,35.55
2008,KY,21083,36.17
2008,KY,21085,31.85
2008,KY,21087,23.71
2008,KY,21089,41.91
2008,KY,21091,51.52
2008,KY,21093,39.13
2008,KY,21095,26.08
2008,KY,21097,38.42
2008,KY,21099,33.59
2008,KY,21101,50.6
2008,KY,21103,39.38
2008,KY,21105,36.09
2008,KY,21107,36.72
2008,KY,21109,14.22
2008,KY,21111,55.51
2008,KY,21113,30.85
2008,KY,21115,28.26
2008,KY,21117,38.82
2008,KY,21119,44.88
2008,KY,21121,26.99
2008,KY,21123,30.96
2008,KY,21125,20.52
2008,KY,21127,36.04
2008,KY,21129,27.12
2008,KY,21131,17.42
2008,KY,21133,31.85
2008,KY,21135,31.52
2008,KY,21137,30.07
2008,KY,21139,35.31
2008,KY,21141,35.0
2008,KY,21143,40.91
2008,KY,21145,36.69
2008,KY,21147,23.27
2008,KY,21149,44.39
2008,KY,21151,38.09
2008,KY,21153,45.26
2008,KY,21155,47.22
2008,KY,21157,36.7
2008,KY,21159,21.89
2008,KY,21161,40.6
2008,KY,21163,38.76
2008,KY,21165,51.27
2008,KY,21167,31.4
2008,KY,21169,32.15
2008,KY,21171,22.87
2008,KY,21173,40.98
2008,KY,21175,42.91
2008,KY,21177,48.27
2008,KY,21179,42.18
2008,KY,21181,42.83
2008,KY,21183,40.84
2008,KY,21185,34.11
2008,KY,21187,35.66
2008,KY,21189,22.6
2008,KY,21191,34.94
2008,KY,21193,33.2
2008,KY,21195,42.07
2008,KY,21197,41.53
